step,waiting,running,done,machines,available,timestamp
394,597,17,1,117,90,1425624541
395,597,18,0,117,89,1425624511
396,599,17,2,117,90,1425624481
397,604,16,2,117,91,1425624451
398,607,15,4,117,92,1425624421
399,609,15,2,117,92,1425624392
400,610,18,0,117,89,1425624362
401,611,17,1,117,90,1425624332
402,612,18,0,117,89,1425624302
403,614,17,1,117,90,1425624272
404,614,18,0,117,89,1425624242
405,615,18,0,117,89,1425624212
406,615,18,0,117,89,1425624182
407,615,18,0,117,89,1425624152
408,616,17,1,117,90,1425624122
409,620,16,2,117,91,1425624092
410,622,17,2,117,90,1425624062
411,625,16,2,117,91,1425624032
412,626,17,1,117,90,1425624002
413,627,16,0,117,91,1425623972
414,628,17,1,117,90,1425623942
415,629,17,1,117,90,1425623912
416,631,17,1,117,89,1425623882
417,632,18,0,117,89,1425623852
418,633,17,1,117,90,1425623822
419,634,18,0,117,89,1425623791
420,634,18,0,117,89,1425623761
421,634,18,0,117,89,1425623732
422,637,16,2,117,90,1425623702
423,639,16,2,117,91,1425623671
424,643,16,2,117,91,1425623641
425,644,17,1,117,90,1425623612
426,645,17,1,117,90,1425623582
427,645,18,0,117,89,1425623552
428,645,18,0,117,89,1425623522
429,645,18,0,117,89,1425623492
430,646,18,0,117,89,1425623462
431,646,18,0,117,89,1425623432
432,647,18,0,117,89,1425623402
433,649,18,0,117,89,1425623372
434,649,18,0,117,89,1425623342
435,649,18,0,117,89,1425623312
436,650,18,0,117,89,1425623282
437,651,18,0,117,89,1425623251
438,655,16,2,117,91,1425623221
439,660,13,6,117,94,1425623192
440,663,16,2,117,90,1425623161
441,663,18,0,117,89,1425623131
442,663,18,0,117,89,1425623101
443,663,18,0,117,90,1425623072
444,664,18,0,117,89,1425623042
445,664,18,0,117,89,1425623012
446,665,18,0,117,89,1425622982
447,665,18,0,117,89,1425622952
448,666,18,0,117,89,1425622922
449,667,17,1,117,90,1425622892
450,667,18,0,117,89,1425622862
451,668,18,0,117,89,1425622832
452,668,18,0,117,89,1425622802
453,668,18,0,117,89,1425622772
454,670,17,1,117,90,1425622742
455,677,12,6,117,95,1425622712
456,678,17,1,117,90,1425622682
457,681,15,3,117,92,1425622651
458,682,17,0,117,90,1425622621
459,682,18,0,117,89,1425622592
460,682,18,0,117,89,1425622562
461,682,18,0,117,89,1425622532
462,683,18,0,117,89,1425622501
463,683,18,0,117,89,1425622472
464,683,18,0,117,89,1425622442
465,686,17,1,117,90,1425622411
466,686,18,0,117,89,1425622381
467,687,17,1,117,90,1425622351
468,688,18,0,117,89,1425622321
469,688,18,0,117,89,1425622292
470,691,16,3,117,91,1425622262
471,696,15,3,117,92,1425622231
472,696,18,0,117,89,1425622201
473,696,18,0,117,89,1425622172
474,698,16,0,117,91,1425622141
475,698,18,0,117,89,1425622112
476,699,18,0,117,89,1425622082
477,700,17,1,117,90,1425622052
478,701,17,1,117,90,1425622022
479,701,18,0,117,89,1425621992
480,702,18,0,117,89,1425621962
481,702,18,0,117,89,1425621932
482,703,17,1,117,90,1425621901
483,703,18,0,117,89,1425621872
484,705,16,2,117,91,1425621842
485,707,16,2,117,91,1425621812
486,716,9,9,117,98,1425621782
487,716,18,0,117,89,1425621751
488,716,18,0,117,89,1425621721
489,716,18,0,117,89,1425621691
490,716,18,0,117,89,1425621661
491,716,18,0,117,89,1425621632
492,716,18,0,117,89,1425621602
493,717,18,0,117,89,1425621571
494,718,18,0,117,89,1425621541
495,718,18,0,117,89,1425621512
496,718,18,0,117,89,1425621482
497,720,18,0,117,89,1425621452
498,721,17,1,117,90,1425621422
499,722,17,1,117,90,1425621392
500,723,18,0,117,89,1425621362
501,724,17,1,117,89,1425621331
502,725,17,1,117,90,1425621301
503,730,15,3,117,92,1425621271
504,734,14,4,117,93,1425621241
505,734,18,0,117,89,1425621212
506,734,18,0,117,89,1425621182
507,734,18,0,117,89,1425621152
508,735,17,1,117,89,1425621122
509,736,18,0,117,89,1425621092
510,737,17,1,117,90,1425621062
511,737,18,0,117,89,1425621032
512,737,18,0,117,89,1425621002
513,738,18,0,117,89,1425620972
514,738,18,0,117,89,1425620942
515,739,18,0,117,89,1425620912
516,742,17,1,117,90,1425620882
517,742,18,0,117,89,1425620852
518,744,17,1,117,90,1425620822
519,750,12,6,117,95,1425620792
520,751,17,0,117,91,1425620762
521,752,18,0,117,89,1425620732
522,754,18,0,117,89,1425620701
523,754,18,0,117,89,1425620672
524,754,18,0,117,89,1425620642
525,754,18,0,117,89,1425620611
526,754,18,0,117,89,1425620582
527,755,17,1,117,90,1425620552
528,755,18,0,117,89,1425620522
529,755,18,0,117,89,1425620492
530,758,16,2,117,91,1425620462
531,759,17,1,117,90,1425620432
532,759,18,0,117,89,1425620402
533,761,16,2,117,91,1425620372
534,765,14,4,117,93,1425620342
535,768,14,1,117,93,1425620311
536,769,18,0,117,89,1425620282
537,770,18,0,117,89,1425620252
538,771,18,0,117,89,1425620222
539,771,18,0,117,89,1425620192
540,771,18,0,117,89,1425620162
541,773,16,2,117,91,1425620131
542,773,18,0,117,89,1425620102
543,774,17,1,117,90,1425620072
544,775,17,1,117,90,1425620042
545,776,18,0,117,89,1425620011
546,776,18,0,117,89,1425619981
547,776,18,0,117,89,1425619952
548,777,17,1,117,90,1425619922
549,778,18,0,117,91,1425619892
550,779,18,0,117,89,1425619862
551,784,15,3,117,92,1425619832
552,785,17,1,117,90,1425619802
553,785,18,0,117,89,1425619771
554,785,18,0,117,89,1425619741
555,786,17,1,117,90,1425619712
556,786,18,0,117,89,1425619682
557,786,18,0,117,89,1425619651
558,786,18,0,117,89,1425619621
559,786,18,0,117,89,1425619592
560,786,18,0,117,89,1425619562
561,787,17,1,117,90,1425619531
562,787,18,0,117,89,1425619501
563,788,17,1,117,90,1425619471
564,788,18,0,117,89,1425619441
565,788,18,0,117,89,1425619411
566,788,18,0,117,89,1425619381
567,788,18,0,117,90,1425619352
568,790,18,0,117,89,1425619322
569,791,18,0,117,89,1425619292
570,792,17,1,117,90,1425619262
571,792,18,0,117,89,1425619232
572,794,17,1,117,90,1425619202
573,795,18,0,117,89,1425619171
574,795,18,0,117,89,1425619141
575,795,18,0,117,89,1425619112
576,796,17,1,117,90,1425619082
577,800,14,4,117,93,1425619052
578,802,16,2,117,91,1425619021
579,802,18,0,117,89,1425618992
580,802,18,0,117,89,1425618962
581,803,17,0,117,90,1425618931
582,803,18,0,117,89,1425618902
583,803,18,0,117,90,1425618871
584,804,18,0,117,89,1425618841
585,804,18,0,117,89,1425618812
586,804,18,0,117,89,1425618782
587,804,18,0,117,89,1425618752
588,805,18,0,117,89,1425618722
589,805,18,0,117,89,1425618691
590,805,18,0,117,89,1425618661
591,805,18,0,117,89,1425618632
592,806,18,0,117,89,1425618602
593,807,17,1,117,90,1425618572
594,808,17,1,117,90,1425618542
595,808,18,0,117,89,1425618512
596,808,18,0,117,89,1425618482
597,808,18,0,117,89,1425618451
598,808,18,0,117,89,1425618421
599,811,15,3,117,92,1425618392
600,812,17,1,117,90,1425618361
601,812,18,0,117,89,1425618332
602,812,18,0,117,89,1425618302
603,812,18,0,117,89,1425618272
604,813,17,0,117,91,1425618242
605,814,17,1,117,90,1425618212
606,821,12,6,117,94,1425618182
607,821,18,0,117,89,1425618153
608,821,18,0,117,89,1425618122
609,821,18,0,117,89,1425618095
610,821,18,0,117,89,1425618062
611,821,18,0,117,89,1425618032
612,821,18,0,117,89,1425618002
613,821,18,0,117,89,1425617971
614,821,18,0,117,89,1425617941
615,821,18,0,117,89,1425617911
616,822,17,1,117,90,1425617881
617,823,18,0,117,89,1425617852
618,823,18,1,117,89,1425617822
619,823,19,0,117,88,1425617791
620,823,19,0,117,88,1425617761
621,823,19,0,117,88,1425617731
622,824,18,2,117,89,1425617701
623,824,20,0,117,86,1425617672
624,825,19,1,117,87,1425617642
625,826,19,0,117,87,1425617612
626,826,20,0,117,87,1425617582
627,827,21,0,117,84,1425617552
628,827,21,0,117,84,1425617522
629,828,22,0,117,82,1425617492
630,829,22,0,117,82,1425617461
631,830,24,0,117,78,1425617432
632,831,23,1,117,79,1425617402
633,833,23,1,117,79,1425617372
634,835,23,1,117,79,1425617342
635,836,23,2,117,79,1425617312
636,839,23,2,117,78,1425617282
637,840,24,2,117,77,1425617251
638,840,26,0,117,74,1425617222
639,841,26,0,117,74,1425617192
640,841,26,0,117,74,1425617162
641,841,26,0,117,74,1425617132
642,842,24,0,117,77,1425617102
643,843,26,0,117,74,1425617071
644,843,26,0,117,74,1425617041
645,843,26,0,117,74,1425617012
646,843,26,0,117,74,1425616982
647,844,26,0,117,74,1425616951
648,844,26,0,117,74,1425616922
649,846,26,0,117,74,1425616892
650,846,26,0,117,74,1425616862
651,848,24,2,117,78,1425616832
652,848,26,0,117,74,1425616802
653,848,26,0,117,74,1425616772
654,848,26,0,117,74,1425616742
655,849,26,0,117,74,1425616712
656,849,26,0,117,74,1425616682
657,849,26,0,117,74,1425616652
658,852,25,1,117,75,1425616622
659,853,26,0,117,74,1425616592
660,855,24,2,117,76,1425616562
661,858,23,0,117,78,1425616531
662,859,26,0,117,74,1425616501
663,862,24,2,117,77,1425616472
664,865,25,1,117,75,1425616442
665,869,22,4,117,78,1425616412
666,874,23,3,117,78,1425616382
667,874,26,0,117,74,1425616352
668,876,24,2,117,77,1425616322
669,878,24,2,117,76,1425616292
670,880,25,0,117,77,1425616262
671,883,25,1,117,76,1425616232
672,887,24,2,117,76,1425616202
673,889,24,2,117,77,1425616172
674,891,25,1,117,75,1425616141
675,895,25,1,117,75,1425616112
676,896,25,1,117,75,1425616082
677,899,24,2,117,76,1425616051
678,900,25,1,117,75,1425616022
679,901,25,0,117,77,1425615992
680,902,26,0,117,74,1425615962
681,908,24,2,117,76,1425615932
682,911,24,2,117,76,1425615902
683,914,24,2,117,76,1425615872
684,917,23,4,117,78,1425615842
685,918,26,1,117,74,1425615812
686,923,22,4,117,79,1425615782
687,922,25,1,117,75,1425615752
688,930,24,2,117,77,1425615722
689,932,26,0,117,74,1425615692
690,933,25,1,117,76,1425615662
691,935,25,1,117,75,1425615632
692,938,24,2,117,77,1425615602
693,941,23,3,117,77,1425615571
694,943,24,2,117,77,1425615541
695,945,24,0,117,78,1425615512
696,947,24,2,117,77,1425615482
697,950,24,2,117,78,1425615452
698,951,26,0,117,74,1425615422
699,956,22,4,117,79,1425615392
700,960,22,4,117,78,1425615362
701,961,25,1,117,76,1425615332
702,961,26,0,117,74,1425615302
703,965,22,4,117,79,1425615271
704,968,24,0,117,78,1425615242
705,971,25,1,117,74,1425615212
706,976,25,1,117,75,1425615182
707,976,26,0,117,74,1425615152
708,977,25,1,117,76,1425615122
709,980,23,3,117,77,1425615092
710,983,24,2,117,76,1425615063
711,987,22,4,117,78,1425615032
712,989,24,1,117,77,1425615002
713,989,25,0,117,76,1425614972
714,991,26,0,117,74,1425614942
715,997,25,1,117,75,1425614912
716,999,25,1,117,75,1425614882
717,1003,22,4,117,78,1425614851
718,1005,24,2,117,76,1425614821
719,1006,25,1,117,76,1425614791
720,1006,26,0,117,74,1425614762
721,1008,24,2,117,77,1425614731
722,1009,25,0,117,76,1425614702
723,1012,25,1,117,75,1425614672
724,1015,26,0,117,74,1425614642
725,1016,25,1,117,75,1425614612
726,1018,24,2,117,77,1425614582
727,1021,23,3,117,77,1425614552
728,1025,22,4,117,79,1425614522
729,1027,25,1,117,76,1425614491
730,1031,22,2,117,80,1425614461
731,1031,26,0,117,74,1425614432
732,1034,25,1,117,75,1425614402
733,1034,26,0,117,74,1425614372
734,1035,26,0,117,74,1425614342
735,1039,26,0,117,74,1425614312
736,1042,24,2,117,78,1425614282
737,1045,24,2,117,78,1425614252
738,1048,23,2,117,78,1425614222
739,1052,22,4,117,79,1425614192
740,1053,25,0,117,75,1425614162
741,1053,26,0,117,74,1425614131
742,1057,26,0,117,74,1425614101
743,1060,25,1,117,76,1425614072
744,1063,25,1,117,76,1425614042
745,1064,26,0,117,74,1425614011
746,1067,23,3,117,76,1425613981
747,1072,24,2,117,78,1425613951
748,1073,25,1,117,75,1425613921
749,1074,25,1,117,76,1425613892
750,1074,26,0,117,75,1425613862
751,1077,26,0,117,74,1425613832
752,1079,26,0,117,74,1425613802
753,1081,25,1,117,76,1425613772
754,1083,26,0,117,74,1425613741
755,1085,24,2,117,76,1425613712
756,1086,25,1,117,75,1425613682
757,1087,25,1,117,75,1425613651
758,1089,24,2,117,75,1425613622
759,1092,23,3,117,77,1425613592
760,1092,26,0,117,74,1425613562
761,1094,24,0,117,76,1425613532
762,1094,26,0,117,76,1425613502
763,1096,25,1,117,76,1425613472
764,1102,23,3,117,79,1425613442
765,1105,26,0,117,74,1425613412
766,1107,25,1,117,75,1425613382
767,1108,25,1,117,75,1425613352
768,1108,26,0,117,74,1425613322
769,1109,25,1,117,75,1425613291
770,1109,26,0,117,74,1425613262
771,1110,25,1,117,75,1425613232
772,1111,25,1,117,74,1425613202
773,1113,24,2,117,76,1425613172
774,1115,25,0,117,77,1425613142
775,1116,25,1,117,75,1425613112
776,1119,25,1,117,74,1425613082
777,1121,26,0,117,74,1425613051
778,1123,24,2,117,76,1425613021
779,1123,26,0,117,74,1425612992
780,1124,25,1,117,75,1425612961
781,1124,26,0,117,74,1425612932
782,1125,26,0,117,74,1425612902
783,1130,22,4,117,81,1425612872
784,1135,21,2,117,83,1425612842
785,1135,26,0,117,75,1425612811
786,1137,25,1,117,75,1425612781
787,1137,26,0,117,74,1425612752
788,1138,26,0,117,74,1425612722
789,1140,25,1,117,75,1425612692
790,1142,26,0,117,74,1425612662
791,1143,26,0,117,74,1425612631
792,1144,25,1,117,75,1425612601
793,1146,25,1,117,68,1425612572
794,1148,24,2,117,68,1425612542
795,1150,25,1,117,68,1425612512
796,1150,26,0,117,67,1425612482
797,1150,26,0,117,67,1425612452
798,1153,24,0,117,70,1425612422
799,1153,26,0,117,68,1425612391
800,1154,26,0,117,67,1425612361
801,1154,26,0,117,67,1425612331
802,1157,25,1,117,68,1425612301
803,1157,26,0,117,67,1425612272
804,1158,25,1,117,68,1425612242
805,1168,16,2,117,77,1425612212
806,1049,17,0,117,76,1425612182
807,1050,17,1,117,76,1425612152
808,1050,19,0,117,74,1425612122
809,1052,19,0,117,74,1425612092
810,1054,18,0,117,75,1425612062
811,1056,16,2,117,77,1425612032
812,1057,18,0,117,75,1425612002
813,1057,18,0,117,75,1425611972
814,1060,17,1,117,76,1425611942
